Program	Message	Time	Details
PAC-MAN Championship Edition DX+	key up	490045	Down
PAC-MAN Championship Edition DX+	key down	490061	Right
PAC-MAN Championship Edition DX+	key down	491340	Up
PAC-MAN Championship Edition DX+	key up	491371	Right
PAC-MAN Championship Edition DX+	key down	491761	Left
PAC-MAN Championship Edition DX+	key up	491777	Up
PAC-MAN Championship Edition DX+	key down	495334	Up
PAC-MAN Championship Edition DX+	key up	495599	Left
PAC-MAN Championship Edition DX+	key down	495942	Right
PAC-MAN Championship Edition DX+	key up	495958	Up
PAC-MAN Championship Edition DX+	key down	497050	Down
PAC-MAN Championship Edition DX+	key up	497081	Right
PAC-MAN Championship Edition DX+	key down	497393	Right
PAC-MAN Championship Edition DX+	key up	497409	Down
PAC-MAN Championship Edition DX+	key up	497767	Right
PAC-MAN Championship Edition DX+	key down	498033	Left
PAC-MAN Championship Edition DX+	key up	498688	Left
PAC-MAN Championship Edition DX+	key down	498797	Left
PAC-MAN Championship Edition DX+	key up	498813	Left
PAC-MAN Championship Edition DX+	key down	498891	Left
PAC-MAN Championship Edition DX+	key up	498937	Left
PAC-MAN Championship Edition DX+	key down	499015	Left
PAC-MAN Championship Edition DX+	key up	499062	Left
PAC-MAN Championship Edition DX+	key down	499125	Left
PAC-MAN Championship Edition DX+	key up	499156	Left
PAC-MAN Championship Edition DX+	key down	499655	Down
PAC-MAN Championship Edition DX+	key up	500045	Down
PAC-MAN Championship Edition DX+	key down	500108	Right
PAC-MAN Championship Edition DX+	key up	500310	Right
PAC-MAN Championship Edition DX+	key down	500357	Down
PAC-MAN Championship Edition DX+	key up	500607	Down
PAC-MAN Championship Edition DX+	key down	500622	Left
PAC-MAN Championship Edition DX+	key up	500794	Left
PAC-MAN Championship Edition DX+	key down	500872	Left
PAC-MAN Championship Edition DX+	key up	500934	Left
PAC-MAN Championship Edition DX+	key down	501964	Right
PAC-MAN Championship Edition DX+	key up	502323	Right
PAC-MAN Championship Edition DX+	key down	502947	Left
PAC-MAN Championship Edition DX+	key up	503727	Left
PAC-MAN Championship Edition DX+	key down	504850	Left
PAC-MAN Championship Edition DX+	key up	504944	Left
PAC-MAN Championship Edition DX+	key down	505037	Left
PAC-MAN Championship Edition DX+	key up	505146	Left
PAC-MAN Championship Edition DX+	key down	506847	Left
PAC-MAN Championship Edition DX+	key up	507034	Left
PAC-MAN Championship Edition DX+	key down	507299	Up
PAC-MAN Championship Edition DX+	key up	507486	Up
PAC-MAN Championship Edition DX+	key down	507611	Left
PAC-MAN Championship Edition DX+	key up	507986	Left
PAC-MAN Championship Edition DX+	key down	508173	Down
PAC-MAN Championship Edition DX+	key up	508703	Down
PAC-MAN Championship Edition DX+	key down	508890	Left
PAC-MAN Championship Edition DX+	key up	510669	Left
PAC-MAN Championship Edition DX+	key down	510684	Down
PAC-MAN Championship Edition DX+	key up	511184	Down
PAC-MAN Championship Edition DX+	key down	511230	Left
PAC-MAN Championship Edition DX+	key up	513040	Left
PAC-MAN Championship Edition DX+	key down	513071	Down
PAC-MAN Championship Edition DX+	key up	513508	Down
PAC-MAN Championship Edition DX+	key down	513524	Right
PAC-MAN Championship Edition DX+	key down	515006	Up
PAC-MAN Championship Edition DX+	key up	515006	Right
PAC-MAN Championship Edition DX+	key up	515052	Up
PAC-MAN Championship Edition DX+	key down	515130	Up
PAC-MAN Championship Edition DX+	key up	516878	Up
PAC-MAN Championship Edition DX+	key down	516924	Right
PAC-MAN Championship Edition DX+	key up	520200	Right
PAC-MAN Championship Edition DX+	key down	520216	Up
PAC-MAN Championship Edition DX+	key up	520575	Up
PAC-MAN Championship Edition DX+	key down	520606	Left
PAC-MAN Championship Edition DX+	key up	521792	Left
PAC-MAN Championship Edition DX+	key down	521885	Right
PAC-MAN Championship Edition DX+	key up	522041	Right
PAC-MAN Championship Edition DX+	key down	522088	Left
PAC-MAN Championship Edition DX+	key down	522478	Down
PAC-MAN Championship Edition DX+	key up	522509	Left
PAC-MAN Championship Edition DX+	key down	524490	Right
PAC-MAN Championship Edition DX+	key up	524522	Down
PAC-MAN Championship Edition DX+	key down	525910	Up
PAC-MAN Championship Edition DX+	key up	525910	Right
PAC-MAN Championship Edition DX+	key up	526409	Up
PAC-MAN Championship Edition DX+	key down	526425	Left
PAC-MAN Championship Edition DX+	key down	527782	Up
PAC-MAN Championship Edition DX+	key up	527829	Left
PAC-MAN Championship Edition DX+	key down	528796	Left
PAC-MAN Championship Edition DX+	key up	528812	Up
PAC-MAN Championship Edition DX+	key down	530231	Down
PAC-MAN Championship Edition DX+	key up	530262	Left
PAC-MAN Championship Edition DX+	key down	531370	Left
PAC-MAN Championship Edition DX+	key up	531386	Down
PAC-MAN Championship Edition DX+	key down	531823	Down
PAC-MAN Championship Edition DX+	key up	531823	Left
PAC-MAN Championship Edition DX+	key up	532275	Down
PAC-MAN Championship Edition DX+	key down	532291	Left
PAC-MAN Championship Edition DX+	key down	533414	Up
PAC-MAN Championship Edition DX+	key up	533523	Left
PAC-MAN Championship Edition DX+	key up	534365	Up
PAC-MAN Championship Edition DX+	key down	534381	Right
PAC-MAN Championship Edition DX+	key up	534693	Right
PAC-MAN Championship Edition DX+	key down	534724	Up
PAC-MAN Championship Edition DX+	key down	535270	Left
PAC-MAN Championship Edition DX+	key up	535286	Up
PAC-MAN Championship Edition DX+	key down	535660	Up
PAC-MAN Championship Edition DX+	key up	535676	Left
PAC-MAN Championship Edition DX+	key down	536331	Right
PAC-MAN Championship Edition DX+	key up	536362	Up
PAC-MAN Championship Edition DX+	key down	537673	Down
PAC-MAN Championship Edition DX+	key up	537688	Right
PAC-MAN Championship Edition DX+	key up	537969	Down
PAC-MAN Championship Edition DX+	key down	537985	Right
PAC-MAN Championship Edition DX+	key down	539763	Up
PAC-MAN Championship Edition DX+	key up	539763	Right
PAC-MAN Championship Edition DX+	key down	539794	Right
PAC-MAN Championship Edition DX+	key up	539841	Right
PAC-MAN Championship Edition DX+	key up	540200	Up
PAC-MAN Championship Edition DX+	key down	540215	Right
PAC-MAN Championship Edition DX+	key down	540917	Down
PAC-MAN Championship Edition DX+	key up	540933	Right
PAC-MAN Championship Edition DX+	key down	542805	Right
PAC-MAN Championship Edition DX+	key up	542899	Down
PAC-MAN Championship Edition DX+	key down	543476	Up
PAC-MAN Championship Edition DX+	key up	543616	Right
PAC-MAN Championship Edition DX+	key down	544131	Left
PAC-MAN Championship Edition DX+	key up	544147	Up
PAC-MAN Championship Edition DX+	key down	544443	Up
PAC-MAN Championship Edition DX+	key up	544459	Left
PAC-MAN Championship Edition DX+	key up	544817	Up
PAC-MAN Championship Edition DX+	key down	544817	Right
PAC-MAN Championship Edition DX+	key down	546112	Down
PAC-MAN Championship Edition DX+	key up	546221	Right
PAC-MAN Championship Edition DX+	key down	546674	Right
PAC-MAN Championship Edition DX+	key up	546689	Down
PAC-MAN Championship Edition DX+	key down	549919	Up
PAC-MAN Championship Edition DX+	key up	550075	Right
PAC-MAN Championship Edition DX+	key down	550371	Left
PAC-MAN Championship Edition DX+	key up	550387	Up
PAC-MAN Championship Edition DX+	key down	551978	Up
PAC-MAN Championship Edition DX+	key up	552040	Left
PAC-MAN Championship Edition DX+	key down	552789	Right
PAC-MAN Championship Edition DX+	key up	552898	Up
PAC-MAN Championship Edition DX+	key down	553585	Down
PAC-MAN Championship Edition DX+	key up	553756	Right
PAC-MAN Championship Edition DX+	key up	553850	Down
PAC-MAN Championship Edition DX+	key down	553897	Left
PAC-MAN Championship Edition DX+	key down	554521	Up
PAC-MAN Championship Edition DX+	key up	554536	Left
PAC-MAN Championship Edition DX+	key up	556205	Up
PAC-MAN Championship Edition DX+	key down	556315	Right
PAC-MAN Championship Edition DX+	key down	556315	Down
PAC-MAN Championship Edition DX+	key up	556330	Right
PAC-MAN Championship Edition DX+	key down	559169	Right
PAC-MAN Championship Edition DX+	key up	559169	Down
PAC-MAN Championship Edition DX+	key up	559637	Right
PAC-MAN Championship Edition DX+	key down	559653	Left
PAC-MAN Championship Edition DX+	key down	560339	Up
PAC-MAN Championship Edition DX+	key up	560371	Left
PAC-MAN Championship Edition DX+	key down	562040	Left
PAC-MAN Championship Edition DX+	key up	562118	Up
PAC-MAN Championship Edition DX+	key down	562414	Right
PAC-MAN Championship Edition DX+	key up	562414	Left
PAC-MAN Championship Edition DX+	key down	563085	Down
PAC-MAN Championship Edition DX+	key up	563163	Right
PAC-MAN Championship Edition DX+	key down	563382	Left
PAC-MAN Championship Edition DX+	key up	563413	Down
PAC-MAN Championship Edition DX+	key down	563928	Down
PAC-MAN Championship Edition DX+	key up	563959	Left
PAC-MAN Championship Edition DX+	key down	564130	Left
PAC-MAN Championship Edition DX+	key up	564146	Down
PAC-MAN Championship Edition DX+	key down	564458	Down
PAC-MAN Championship Edition DX+	key up	564489	Left
PAC-MAN Championship Edition DX+	key down	564786	Left
PAC-MAN Championship Edition DX+	key up	564801	Down
PAC-MAN Championship Edition DX+	key down	566096	Up
PAC-MAN Championship Edition DX+	key up	566127	Left
PAC-MAN Championship Edition DX+	key down	566533	Right
PAC-MAN Championship Edition DX+	key up	566564	Up
PAC-MAN Championship Edition DX+	key up	568826	Right
