Program	Message	Time	Details
Papers Please	mouse left down	12974415	(1180, 487)
Papers Please	mouse left up	12974525	(1180, 487)
Papers Please	mouse left down	12974915	(1022, 553)
Papers Please	mouse left up	12975617	(1069, 535)
Papers Please	mouse left down	12976880	(434, 621)
Papers Please	mouse left up	12977567	(741, 567)
Papers Please	mouse left down	12979501	(1191, 392)
Papers Please	mouse left up	12979610	(1191, 392)
Papers Please	mouse left down	12981904	(905, 361)
Papers Please	mouse left up	12982013	(905, 361)
Papers Please	mouse left down	12982824	(1212, 429)
Papers Please	mouse left up	12982918	(1212, 429)
Papers Please	mouse left down	12983900	(1355, 766)
Papers Please	mouse left up	12984010	(1355, 766)
Papers Please	mouse left down	12985913	(968, 506)
Papers Please	mouse left up	12985975	(964, 506)
Papers Please	mouse left down	12986381	(489, 609)
Papers Please	mouse left up	12986459	(489, 609)
Papers Please	mouse left down	12988690	(419, 700)
Papers Please	mouse left up	12988783	(419, 700)
Papers Please	mouse left down	12992262	(429, 625)
Papers Please	mouse left up	12994976	(361, 642)
Papers Please	mouse left down	12996583	(905, 362)
Papers Please	mouse left up	12996677	(905, 362)
Papers Please	mouse left down	12997550	(1200, 469)
Papers Please	mouse left up	12997675	(1200, 469)
Papers Please	mouse left down	12998237	(1191, 397)
Papers Please	mouse left up	12998346	(1191, 397)
Papers Please	mouse left down	13000327	(649, 651)
Papers Please	mouse left up	13001840	(996, 656)
Papers Please	mouse left down	13003744	(1362, 449)
Papers Please	mouse left up	13004024	(1362, 449)
Papers Please	mouse left down	13004524	(1113, 613)
Papers Please	mouse left up	13005694	(1223, 632)
Papers Please	mouse left down	13006583	(1226, 430)
Papers Please	mouse left up	13006661	(1226, 432)
Papers Please	mouse left down	13007020	(1166, 699)
Papers Please	mouse left up	13007597	(454, 455)
Papers Please	mouse left down	13008112	(334, 628)
Papers Please	mouse left up	13008424	(392, 482)
Papers Please	mouse left down	13010592	(579, 278)
Papers Please	mouse left up	13010701	(579, 278)
Papers Please	mouse left down	13011731	(909, 362)
Papers Please	mouse left up	13011809	(909, 362)
Papers Please	mouse left down	13017160	(418, 622)
Papers Please	mouse left up	13018221	(783, 539)
Papers Please	mouse left down	13019001	(402, 632)
Papers Please	mouse left up	13021653	(311, 620)
Papers Please	mouse left down	13024835	(1243, 470)
Papers Please	mouse left up	13024929	(1243, 470)
Papers Please	mouse left down	13026972	(1074, 623)
Papers Please	mouse left up	13027097	(1074, 623)
Papers Please	mouse left down	13028922	(803, 649)
Papers Please	mouse left up	13029889	(1076, 667)
Papers Please	mouse left down	13030966	(1362, 470)
Papers Please	mouse left up	13031044	(1362, 470)
Papers Please	mouse left down	13031481	(1059, 639)
Papers Please	mouse left up	13032323	(1203, 667)
Papers Please	mouse left down	13032822	(1206, 426)
Papers Please	mouse left up	13032916	(1206, 426)
Papers Please	mouse left down	13033212	(1202, 637)
Papers Please	mouse left up	13034023	(423, 457)
Papers Please	mouse left down	13034554	(306, 626)
Papers Please	mouse left up	13034913	(391, 483)
Papers Please	mouse left down	13038095	(571, 277)
Papers Please	mouse left up	13038204	(571, 277)
Papers Please	mouse left down	13039140	(899, 362)
Papers Please	mouse left up	13039234	(899, 362)
Papers Please	mouse left down	13042978	(404, 634)
Papers Please	mouse left up	13043290	(550, 593)
Papers Please	mouse left down	13044647	(401, 632)
Papers Please	mouse left up	13045256	(736, 573)
Papers Please	mouse left down	13046706	(1214, 467)
Papers Please	mouse left up	13046800	(1214, 467)
Papers Please	mouse left down	13047424	(424, 626)
Papers Please	mouse left up	13049686	(303, 630)
Papers Please	mouse left down	13051402	(1032, 368)
Papers Please	mouse left up	13051496	(1032, 368)
Papers Please	mouse left down	13055957	(910, 356)
Papers Please	mouse left up	13056066	(910, 356)
Papers Please	mouse left down	13058968	(1204, 468)
Papers Please	mouse left up	13059077	(1205, 468)
Papers Please	mouse left down	13060746	(1045, 371)
Papers Please	mouse left up	13060824	(1045, 371)
Papers Please	mouse left down	13061807	(1332, 742)
Papers Please	mouse left up	13061916	(1332, 742)
Papers Please	mouse left down	13062821	(1204, 553)
Papers Please	mouse left up	13062915	(1204, 553)
Papers Please	mouse left down	13063570	(740, 671)
Papers Please	mouse left up	13063695	(740, 671)
Papers Please	mouse left down	13065910	(412, 702)
Papers Please	mouse left up	13066019	(412, 702)
Papers Please	mouse left down	13067844	(1360, 427)
Papers Please	mouse left up	13067922	(1360, 427)
Papers Please	mouse left down	13068468	(738, 613)
Papers Please	mouse left up	13069077	(962, 611)
Papers Please	mouse left down	13069342	(960, 433)
Papers Please	mouse left up	13069420	(960, 439)
Papers Please	mouse left down	13069607	(978, 637)
Papers Please	mouse left up	13070200	(392, 437)
Papers Please	mouse left down	13070793	(302, 618)
Papers Please	mouse left up	13071230	(386, 468)
Papers Please	mouse left down	13073258	(583, 271)
Papers Please	mouse left up	13073492	(583, 271)
Papers Please	mouse left down	13075052	(904, 357)
Papers Please	mouse left up	13075145	(904, 357)
Papers Please	mouse left down	13075863	(1216, 464)
Papers Please	mouse left up	13076003	(1216, 464)
